                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 2.2869,                 3.5463,                 2.8005,                0.77652,                0.10228,                0.22875,                 0.1014,                 2.1694,                 4.1906,                 2.8503,             0.00047288,             0.00047288,             0.00047288
                    105,                 2.2922,                 3.6114,                 2.7563,                0.77652,                0.10228,                0.22875,                 0.1014,                 2.1694,                 4.1906,                 2.8503,             0.00047236,             0.00047236,             0.00047236
                    106,                 2.4528,                 3.6972,                 2.8732,                0.72289,                0.08654,                0.17495,                0.08637,                  2.166,                 4.1666,                  2.899,             0.00047184,             0.00047184,             0.00047184
                    107,                 2.3352,                 3.3241,                 2.7806,                0.71905,                0.10057,                0.19694,                0.09548,                 2.1193,                 4.0606,                 2.8583,             0.00047132,             0.00047132,             0.00047132
                    108,                 2.3516,                 3.3294,                 2.7768,                0.63054,                 0.1888,                0.24871,                0.13003,                 1.9846,                 3.8521,                 2.7477,              0.0004708,              0.0004708,              0.0004708
                    109,                 2.3442,                 3.2361,                 2.7567,                0.63054,                 0.1888,                0.24871,                0.13003,                 1.9846,                 3.8521,                 2.7477,             0.00047028,             0.00047028,             0.00047028
                    110,                 2.2665,                 3.1987,                 2.6804,                0.50253,                0.23723,                0.27811,                0.15554,                 1.9141,                 3.6299,                  2.673,             0.00046976,             0.00046976,             0.00046976
                    111,                 2.1146,                 3.2808,                 2.5736,                0.48125,                0.33059,                0.30064,                0.16998,                 1.9169,                 3.6109,                 2.6416,             0.00046924,             0.00046924,             0.00046924
                    112,                 2.2286,                  3.471,                  2.766,                0.50291,                0.36287,                0.37479,                0.21812,                 1.8837,                 3.6808,                 2.5905,             0.00046872,             0.00046872,             0.00046872
                    113,                  2.377,                 3.4346,                  2.746,                0.50291,                0.36287,                0.37479,                0.21812,                 1.8837,                 3.6808,                 2.5905,              0.0004682,              0.0004682,              0.0004682
                    114,                 2.4421,                 3.5527,                 2.7799,                 0.4948,                0.39815,                0.38322,                0.21806,                 1.8474,                 3.7618,                 2.5426,             0.00046768,             0.00046768,             0.00046768
                    115,                 2.2691,                  3.485,                  2.822,                0.52221,                0.39504,                0.38738,                0.23196,                 1.8081,                 3.7954,                 2.5236,             0.00046716,             0.00046716,             0.00046716
                    116,                 2.2965,                 3.4384,                 2.7568,                0.44638,                0.31118,                0.40808,                0.24146,                 1.7622,                  3.765,                 2.4679,             0.00046664,             0.00046664,             0.00046664
                    117,                 2.1591,                 3.2465,                 2.7183,                0.44638,                0.31118,                0.40808,                0.24146,                 1.7622,                  3.765,                 2.4679,             0.00046611,             0.00046611,             0.00046611
                    118,                 2.2333,                 3.4051,                  2.656,                0.49899,                0.43438,                0.41058,                0.24236,                 1.7103,                 3.6117,                 2.4246,             0.00046559,             0.00046559,             0.00046559
                    119,                 2.2473,                 3.5031,                 2.7667,                0.58015,                0.41497,                 0.4236,                0.24906,                 1.6924,                 3.5194,                 2.4073,             0.00046507,             0.00046507,             0.00046507
                    120,                 2.2503,                   3.47,                 2.7345,                0.55062,                0.41233,                0.43786,                 0.2552,                 1.6894,                 3.4793,                 2.3951,             0.00046455,             0.00046455,             0.00046455
                    121,                 2.0877,                 3.4427,                 2.6784,                0.55062,                0.41233,                0.43786,                 0.2552,                 1.6894,                 3.4793,                 2.3951,             0.00046403,             0.00046403,             0.00046403
                    122,                 2.1115,                 3.2598,                 2.5928,                0.58884,                0.39238,                 0.4838,                0.28027,                  1.704,                 3.4301,                 2.4228,             0.00046351,             0.00046351,             0.00046351
                    123,                 2.0788,                 3.1467,                 2.6463,                 0.5809,                0.36866,                0.49735,                 0.2788,                 1.7275,                  3.403,                 2.4691,             0.00046299,             0.00046299,             0.00046299
                    124,                 2.3252,                  3.346,                 2.7292,                0.51334,                0.35376,                 0.4669,                0.25616,                 1.6671,                 3.4233,                 2.4606,             0.00046247,             0.00046247,             0.00046247
                    125,                 2.2168,                 3.2204,                 2.6338,                0.51334,                0.35376,                 0.4669,                0.25616,                 1.6671,                 3.4233,                 2.4606,             0.00046195,             0.00046195,             0.00046195
                    126,                 2.2149,                 3.2126,                 2.6058,                0.55423,                0.40107,                0.44578,                0.25506,                  1.661,                  3.447,                 2.4536,             0.00046143,             0.00046143,             0.00046143
                    127,                 2.2037,                 3.3927,                 2.7118,                0.63439,                0.37701,                 0.4419,                0.24872,                 1.6475,                 3.4995,                 2.4385,             0.00046091,             0.00046091,             0.00046091
                    128,                 2.3376,                 3.4335,                  2.771,                0.58369,                0.36127,                0.43143,                0.26181,                 1.6213,                 3.4683,                 2.4246,             0.00046039,             0.00046039,             0.00046039
                    129,                  2.267,                 3.1656,                 2.6649,                0.58369,                0.36127,                0.43143,                0.26181,                 1.6213,                 3.4683,                 2.4246,             0.00045987,             0.00045987,             0.00045987
                    130,                 2.1497,                  3.075,                 2.6645,                0.61559,                 0.4212,                 0.4507,                0.26321,                 1.6521,                 3.3646,                  2.461,             0.00045935,             0.00045935,             0.00045935
                    131,                  2.222,                 3.1921,                 2.6211,                0.54811,                0.40897,                 0.4492,                0.26059,                 1.7582,                 3.3399,                 2.5624,             0.00045882,             0.00045882,             0.00045882
                    132,                 2.0863,                 3.1745,                 2.6676,                0.58837,                0.40265,                0.47142,                 0.2741,                 1.7501,                 3.2507,                 2.5218,              0.0004583,              0.0004583,              0.0004583
                    133,                 2.2985,                 3.5944,                 2.7529,                0.58837,                0.40265,                0.47142,                 0.2741,                 1.7501,                 3.2507,                 2.5218,             0.00045778,             0.00045778,             0.00045778
